48,0.5,49.96974
48.23358,0.5,57.96608
48.3215,0.5,65.96483
47.41977,0.5,73.90108
44.65915,0.5,81.39223
40.34491,0.5,88.11324
34.73203,0.5,93.7986
28.17184,0.5,98.35756
21.02945,0.5,101.9505
13.40323,0.5,104.336
5.460052,0.5,105.1286
-2.457458,0.5,104.0734
-10.20334,0.5,102.0763
-17.66541,0.5,99.22694
-24.35059,0.5,94.86729
-29.60428,0.5,88.87233
-32.88385,0.5,81.59865
-34.20639,0.5,73.72603
-33.72415,0.5,65.75758
-31.23511,0.5,58.17976
-29.16971,0.5,50.46931
-28.62851,0.5,42.49724
-29.33383,0.5,34.53429
-31.17581,0.5,26.75505
-34.35712,0.5,19.4319
-38.7012,0.5,12.71971
-43.97342,0.5,6.712112
-50.32306,0.5,1.871231
-57.48053,0.5,-1.67511
-65.25229,0.5,-3.45079
-73.15137,0.5,-2.501175
-80.02727,0.5,1.498642
-84.89859,0.5,7.781601
-87.9171,0.5,15.18275
-92.41704,0.5,21.76973
-98.38063,0.5,27.08589
-105.1349,0.5,31.35612
-112.6646,0.5,33.99867
-120.6163,0.5,34.549
-128.4396,0.5,32.95338
-135.7193,0.5,29.6628
-142.3677,0.5,25.22523
-148.5177,0.5,20.11049
-154.6595,0.5,14.98494
-161.1667,0.5,10.3376
-168.2655,0.5,6.669876
-175.9322,0.5,4.422318
-183.8922,0.5,3.998306
-191.6111,0.5,5.96962
-198.057,0.5,10.61736
